locus tag	organism	pan locus tag	new symbol	type	symbol	synonym	product	essential	Gene ID	EC	TIGRFAM Meta Role	TIGRFAM Main Role	TIGRFAM Sub Role	TIGRFAM function	TIGRFAM	TIGRFAM HMM score	effector	interaction partners	PSORTb	LocateP	SignalP	transmembrane helices	protein GI	UniProt
SAOUHSC_00830	S. aureus NCTC8325	SAUPAN002813000	SAOUHSC_00830	CDS	SAOUHSC_00830		hypothetical protein	no	3918942					UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	TIGR03585	15.7			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194588	Q2G1T4
SAOUHSC_00833	S. aureus NCTC8325	SAUPAN002818000	SAOUHSC_00833	CDS	SAOUHSC_00833		hypothetical protein	no	3918945		Metabolism	Biosynthesis of cofactors, prosthetic groups, and carriers	Other	F420 biosynthesis protein FbiB, C-terminal domain	TIGR03553	33.7			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194591	Q2G001
SAOUHSC_00834	S. aureus NCTC8325	SAUPAN002819000	SAOUHSC_00834	CDS	SAOUHSC_00834		thioredoxin	no	3918946		Metabolism	Energy metabolism	Electron transport	thioredoxin	TIGR01068	56.4			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194592	Q2G000
SAOUHSC_00835	S. aureus NCTC8325	SAUPAN002820000	SAOUHSC_00835	CDS	SAOUHSC_00835		hypothetical protein	no	3918947		Signal transduction	Regulatory functions	DNA interactions	transcriptional regulator, Spx/MgsR family	TIGR01617	155			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194593	Q2FZZ9
SAOUHSC_00837	S. aureus NCTC8325	SAUPAN002822000	SAOUHSC_00837	CDS	SAOUHSC_00837		hypothetical protein	no	3918949										Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88194595	Q2FZZ7
SAOUHSC_00838	S. aureus NCTC8325	SAUPAN002823000	SAOUHSC_00838	CDS	SAOUHSC_00838		hypothetical protein	no	3918950										Cytoplasmic	Intracellular	no predicted signal peptide	0	88194596	Q2FZZ6
SAOUHSC_00839	S. aureus NCTC8325	SAUPAN002834000	SAOUHSC_00839	CDS	SAOUHSC_00839		hypothetical protein	no	3918951										no significant prediction	Intracellular	no predicted signal peptide	0	88194597	Q2FZZ5
SAOUHSC_00840	S. aureus NCTC8325	SAUPAN002835000	SAOUHSC_00840	CDS	SAOUHSC_00840		hypothetical protein	no	3918952		Genetic information processing	Transcription	RNA processing	ribonuclease M5	TIGR00334	51.5			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194598	Q2FZZ4
SAOUHSC_00841	S. aureus NCTC8325	SAUPAN002836000	SAOUHSC_00841	CDS	SAOUHSC_00841		hypothetical protein	no	3918953		Metabolism	Energy metabolism	Electron transport	thioredoxin	TIGR01068	32.7			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194599	Q2FZZ3
SAOUHSC_00845	S. aureus NCTC8325	SAUPAN002892000	SAOUHSC_00845	CDS	SAOUHSC_00845		hypothetical protein	no	3918957										no significant prediction	Intracellular	no predicted signal peptide	0	88194603	Q2FZY9
SAOUHSC_00846	S. aureus NCTC8325	SAUPAN002893000	SAOUHSC_00846	CDS	SAOUHSC_00846		hypothetical protein	no	3918958										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	9	88194604	Q2FZY8
SAOUHSC_00852	S. aureus NCTC8325	SAUPAN003012000	SAOUHSC_00852	CDS	SAOUHSC_00852		hypothetical protein	no	3918983										Cytoplasmic	Intracellular	no predicted signal peptide	0	88194610	Q2FZY2
SAOUHSC_00853	S. aureus NCTC8325	SAUPAN003014000	SAOUHSC_00853	CDS	SAOUHSC_00853		hypothetical protein	no	3918984										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	3	88194611	Q2FZY1
SAOUHSC_00854	S. aureus NCTC8325	SAUPAN003015000	SAOUHSC_00854	CDS	SAOUHSC_00854		hypothetical protein	no	3918985					gliding motility-associated protein GldE	TIGR03520	207.6			Cytoplasmic Membrane	Multi-transmembrane	signal peptide predicted	4	88194612	Q2FZY0
SAOUHSC_00855	S. aureus NCTC8325	SAUPAN003016000	SAOUHSC_00855	CDS	SAOUHSC_00855		hypothetical protein	no	3918986	1.13.12.16				putative enoyl-[acyl-carrier-protein] reductase II	TIGR03151	233.2		"SAOUHSC_00187; SAOUHSC_00206; SAOUHSC_00336; SAOUHSC_00472; SAOUHSC_00488; SAOUHSC_00520; SAOUHSC_00524; SAOUHSC_00528; SAOUHSC_00530; SAOUHSC_00679; SAOUHSC_00690; SAOUHSC_00795; SAOUHSC_00799; SAOUHSC_00878; SAOUHSC_01040; SAOUHSC_01042; SAOUHSC_01232; SAOUHSC_01234; SAOUHSC_01347; SAOUHSC_01451; SAOUHSC_01683; SAOUHSC_01794; SAOUHSC_01806; SAOUHSC_01819; SAOUHSC_02254; SAOUHSC_02318; SAOUHSC_02353; SAOUHSC_02477; SAOUHSC_02478; SAOUHSC_02494; SAOUHSC_02496; SAOUHSC_02503; SAOUHSC_02509; SAOUHSC_02510; SAOUHSC_02511; SAOUHSC_02927"	Cytoplasmic	Intracellular	no predicted signal peptide	0	88194613	Q2FZX9
SAOUHSC_00857	S. aureus NCTC8325	SAUPAN003018000	SAOUHSC_00857	CDS	SAOUHSC_00857		hypothetical protein	no	3918987										no significant prediction	Intracellular	no predicted signal peptide	0	88194614	Q2FZX8
SAOUHSC_00858	S. aureus NCTC8325	SAUPAN003019000	SAOUHSC_00858	CDS	SAOUHSC_00858		hypothetical protein	no	3918988					homoprotocatechuate degradation operon regulator, HpaR	TIGR02337	17.2			no significant prediction	Intracellular	no predicted signal peptide	0	88194615	Q2FZX7
SAOUHSC_00859	S. aureus NCTC8325	SAUPAN003020000	SAOUHSC_00859	CDS	SAOUHSC_00859		hypothetical protein	no	3918989										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	8	88194616	Q2FZX6
SAOUHSC_00860	S. aureus NCTC8325	SAUPAN003021000	SAOUHSC_00860	CDS	SAOUHSC_00860		5-nucleotidase family protein	no	3918990					thiosulfohydrolase SoxB	TIGR04486	64.3			Cellwall	Intracellular	no predicted signal peptide	0	88194617	Q2FZX5
SAOUHSC_00862	S. aureus NCTC8325	SAUPAN003023000	SAOUHSC_00862	CDS	SAOUHSC_00862		hypothetical protein	no	3918992										Cytoplasmic	Intracellular	no predicted signal peptide	0	88194619	Q2FZX3
SAOUHSC_00863	S. aureus NCTC8325	SAUPAN003024000	SAOUHSC_00863	CDS	SAOUHSC_00863		hypothetical protein	no	3918993										Cytoplasmic	Intracellular	no predicted signal peptide	0	88194620	Q2FZX2
SAOUHSC_00864	S. aureus NCTC8325	SAUPAN003026000	SAOUHSC_00864	CDS	SAOUHSC_00864		hypothetical protein	no	3918994										Cytoplasmic	Intracellular	no predicted signal peptide	0	88194621	Q2FZX1
SAOUHSC_00865	S. aureus NCTC8325	SAUPAN003027000	SAOUHSC_00865	CDS	SAOUHSC_00865		hypothetical protein	no	3918995	3.1.3.-		Unknown function	Enzymes of unknown specificity	HAD hydrolase, TIGR01457 family	TIGR01457	328.9			no significant prediction	Intracellular	no predicted signal peptide	0	88194622	Q2FZX0
SAOUHSC_00866	S. aureus NCTC8325	SAUPAN003028000	SAOUHSC_00866	CDS	SAOUHSC_00866		D-isomer specific 2-hydroxyacid dehydrogenase NAD binding domain-containing protein	no	3918996		Metabolism	Amino acid biosynthesis	Serine family	phosphoglycerate dehydrogenase	TIGR01327	212.2			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194623	Q2FZW9
SAOUHSC_00867	S. aureus NCTC8325	SAUPAN003029000	SAOUHSC_00867	CDS	SAOUHSC_00867		hypothetical protein	no	3918997										no significant prediction	Intracellular	no predicted signal peptide	0	88194624	Q2FZW8
SAOUHSC_00874	S. aureus NCTC8325	SAUPAN003036000	SAOUHSC_00874	CDS	SAOUHSC_00874		hypothetical protein	no	3919221										Cytoplasmic	Intracellular	no predicted signal peptide	0	88194631	Q2FZW1
SAOUHSC_00875	S. aureus NCTC8325	SAUPAN003037000	SAOUHSC_00875	CDS	SAOUHSC_00875		hypothetical protein	no	3919222					pyridine nucleotide-disulfide oxidoreductase family protein	TIGR03169	107.7			Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88194632	Q2FZW0
SAOUHSC_00876	S. aureus NCTC8325	SAUPAN003038000	SAOUHSC_00876	CDS	SAOUHSC_00876		hypothetical protein	no	3919223										Cytoplasmic	Intracellular	no predicted signal peptide	0	88194633	Q2FZV9
SAOUHSC_00880	S. aureus NCTC8325	SAUPAN003043000	SAOUHSC_00880	CDS	SAOUHSC_00880		hypothetical protein	no	3919227		Metabolism	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	TRAP transporter, DctM subunit	TIGR00786	23.7			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	12	88194637	Q2FZV5
SAOUHSC_00881	S. aureus NCTC8325	SAUPAN003044000	SAOUHSC_00881	CDS	SAOUHSC_00881		hypothetical protein	yes	3919228					uncharacterized domain 1	TIGR00369	99.9			no significant prediction	Intracellular	no predicted signal peptide	0	88194638	Q2FZV4
SAOUHSC_00882	S. aureus NCTC8325	SAUPAN003046000	SAOUHSC_00882	CDS	SAOUHSC_00882		hypothetical protein	no	3919229		Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC, C-terminal domain	TIGR03197	30.1			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194639	Q2G2I0
SAOUHSC_00891	S. aureus NCTC8325	SAUPAN003055000	SAOUHSC_00891	CDS	SAOUHSC_00891		cyclophilin-type peptidyl-prolyl cis-trans isomerase	no	3921737	5.2.1.8									Cytoplasmic	Intracellular	no predicted signal peptide	0	88194648	Q2FZU9
SAOUHSC_00892	S. aureus NCTC8325	SAUPAN003057000	SAOUHSC_00892	CDS	SAOUHSC_00892		hypothetical protein	yes	3921738		Genetic information processing	Transcription	Degradation of RNA	polyribonucleotide nucleotidyltransferase	TIGR03591	52.7			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194649	Q2FZU8
SAOUHSC_00893	S. aureus NCTC8325	SAUPAN003058000	SAOUHSC_00893	CDS	SAOUHSC_00893		FMN oxidoreductase	no	3921739					mycofactocin system FadH/OYE family oxidoreductase 2	TIGR03997	123.6			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194650	Q2FZU7
SAOUHSC_00896	S. aureus NCTC8325	SAUPAN003064000	SAOUHSC_00896	CDS	SAOUHSC_00896		hypothetical protein	no	3921742										no significant prediction	Intracellular	no predicted signal peptide	0	88194653	Q2FZU4
SAOUHSC_00901	S. aureus NCTC8325	SAUPAN003072000	SAOUHSC_00901	CDS	SAOUHSC_00901		hypothetical protein	no	3921747										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	5	88194658	Q2FZT9
SAOUHSC_00906	S. aureus NCTC8325	SAUPAN003078000	SAOUHSC_00906	CDS	SAOUHSC_00906		hypothetical protein	no	3921752					4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, C-terminal subunit	TIGR02303	174.5		"SAOUHSC_00002; SAOUHSC_00069; SAOUHSC_00187; SAOUHSC_00206; SAOUHSC_00348; SAOUHSC_00365; SAOUHSC_00374; SAOUHSC_00375; SAOUHSC_00474; SAOUHSC_00488; SAOUHSC_00493; SAOUHSC_00499; SAOUHSC_00518; SAOUHSC_00519; SAOUHSC_00520; SAOUHSC_00521; SAOUHSC_00525; SAOUHSC_00528; SAOUHSC_00529; SAOUHSC_00530; SAOUHSC_00574; SAOUHSC_00634; SAOUHSC_00656; SAOUHSC_00790; SAOUHSC_00795; SAOUHSC_00796; SAOUHSC_00797; SAOUHSC_00799; SAOUHSC_00847; SAOUHSC_00878; SAOUHSC_00895; SAOUHSC_00900; SAOUHSC_00947; SAOUHSC_01007; SAOUHSC_01028; SAOUHSC_01040; SAOUHSC_01043; SAOUHSC_01150; SAOUHSC_01208; SAOUHSC_01211; SAOUHSC_01218; SAOUHSC_01232; SAOUHSC_01234; SAOUHSC_01246; SAOUHSC_01287; SAOUHSC_01337; SAOUHSC_01347; SAOUHSC_01471; SAOUHSC_01490; SAOUHSC_01493; SAOUHSC_01605; SAOUHSC_01683; SAOUHSC_01755; SAOUHSC_01757; SAOUHSC_01779; SAOUHSC_01794; SAOUHSC_01801; SAOUHSC_01806; SAOUHSC_01807; SAOUHSC_01814; SAOUHSC_01819; SAOUHSC_01820; SAOUHSC_01829; SAOUHSC_01845; SAOUHSC_02108; SAOUHSC_02116; SAOUHSC_02117; SAOUHSC_02254; SAOU"	Cytoplasmic	Intracellular	no predicted signal peptide	0	88194663	Q2FZT4
SAOUHSC_00907	S. aureus NCTC8325	SAUPAN003080000	SAOUHSC_00907	CDS	SAOUHSC_00907		hypothetical protein	no	3921753					MSEP-CTERM protein	TIGR04286	14.1			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	4	88194664	Q2FZT3
SAOUHSC_00909	S. aureus NCTC8325	SAUPAN003108000	SAOUHSC_00909	CDS	SAOUHSC_00909		hypothetical protein	no	3920796			Unknown function	Enzymes of unknown specificity	Cof-like hydrolase	TIGR00099	205.2			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194666	Q2FZT1
SAOUHSC_00911	S. aureus NCTC8325	SAUPAN003111000	SAOUHSC_00911	CDS	SAOUHSC_00911		hypothetical protein	no	3920798										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	10	88194668	Q2FZS9
SAOUHSC_00913	S. aureus NCTC8325	SAUPAN003114000	SAOUHSC_00913	CDS	SAOUHSC_00913		hypothetical protein	no	3920800		Signal transduction	Regulatory functions	DNA interactions	aminoethylphosphonate catabolism associated LysR family transcriptional regulator	TIGR03339	64.5			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194670	Q2FZS7
SAOUHSC_00914	S. aureus NCTC8325	SAUPAN003116000	SAOUHSC_00914	CDS	SAOUHSC_00914		2-isopropylmalate synthase	no	3920801	2.3.3.13	Metabolism	Amino acid biosynthesis	Pyruvate family	2-isopropylmalate synthase	TIGR00973	227.5			no significant prediction	Intracellular	no predicted signal peptide	0	88194671	Q2FZS6
SAOUHSC_00915	S. aureus NCTC8325	SAUPAN003119000	SAOUHSC_00915	CDS	SAOUHSC_00915		hypothetical protein	no	3920802		Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family	TIGR00057	115.7			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194672	Q2FZS5
SAOUHSC_00916	S. aureus NCTC8325	SAUPAN003121000	SAOUHSC_00916	CDS	SAOUHSC_00916		hypothetical protein	no	3920803					multidrug resistance protein	TIGR00880	27.4			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	11	88194673	Q2FZS4
SAOUHSC_00917	S. aureus NCTC8325	SAUPAN003123000	SAOUHSC_00917	CDS	SAOUHSC_00917		hypothetical protein	no	3920804			Unknown function	General	Raf kinase inhibitor-like protein, YbhB/YbcL family	TIGR00481	104.4			no significant prediction	Intracellular	no predicted signal peptide	0	88194674	Q2FZS3
SAOUHSC_00918	S. aureus NCTC8325	SAUPAN003124000	SAOUHSC_00918	CDS	SAOUHSC_00918		truncated MHC class II analog protein	no	3920805										Cytoplasmic Membrane	N-terminally anchored (with CS)	signal peptide predicted	0	88194675	Q2FZS2
SAOUHSC_00919	S. aureus NCTC8325	SAUPAN003126000	SAOUHSC_00919	CDS	SAOUHSC_00919		hypothetical protein	no	3920806										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	2	88194676	Q2FZS1
SAOUHSC_00922	S. aureus NCTC8325	SAUPAN003129000	SAOUHSC_00922	CDS	SAOUHSC_00922		hypothetical protein	yes	3920809					TIGR03943 family protein	TIGR03943	11.5			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	3	88194679	Q2FZR8
SAOUHSC_00939	S. aureus NCTC8325	SAUPAN003174000	SAOUHSC_00939	CDS	SAOUHSC_00939		hypothetical protein	no	3920768										no significant prediction	Intracellular	no predicted signal peptide	0	88194696	Q2G202
SAOUHSC_00940	S. aureus NCTC8325	SAUPAN003175000	SAOUHSC_00940	CDS	SAOUHSC_00940		hypothetical protein	no	3920769										no significant prediction	Intracellular	no predicted signal peptide	0	88194697	Q2G201
SAOUHSC_00941	S. aureus NCTC8325	SAUPAN003176000	SAOUHSC_00941	CDS	SAOUHSC_00941		hypothetical protein	no	3920770										Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88194698	Q2G200
SAOUHSC_00944	S. aureus NCTC8325	SAUPAN003179000	SAOUHSC_00944	CDS	SAOUHSC_00944		hypothetical protein	no	3920773		Genetic information processing	Protein synthesis	tRNA and rRNA base modification	pseudouridine synthase, RluA family	TIGR00005	182			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194701	Q2FZQ6
SAOUHSC_00948	S. aureus NCTC8325	SAUPAN003186000	SAOUHSC_00948	CDS	SAOUHSC_00948		hypothetical protein	no	3920659		Cellular processes	Cellular processes	Sporulation and germination	sporulation integral membrane protein YtvI	TIGR02872	76.9			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	9	88194705	Q2FZQ2
SAOUHSC_00949	S. aureus NCTC8325	SAUPAN003187000	SAOUHSC_00949	CDS	SAOUHSC_00949		hypothetical protein	no	3920660					amino acid carrier protein	TIGR00835	462.6			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	10	88194706	Q2FZQ1
SAOUHSC_00950	S. aureus NCTC8325	SAUPAN003188000	SAOUHSC_00950	CDS	SAOUHSC_00950		hypothetical protein	no	3920661		Cellular processes	Cellular processes	Detoxification	S-formylglutathione hydrolase	TIGR02821	12.8			no significant prediction	Intracellular	no predicted signal peptide	0	88194707	Q2FZQ0
SAOUHSC_00951	S. aureus NCTC8325	SAUPAN003192000	SAOUHSC_00951	CDS	SAOUHSC_00951		hypothetical protein	no	3920662	3.1.-.-	Genetic information processing	Transcription	RNA processing	2'-5' RNA ligase	TIGR02258	15.8		"SAOUHSC_00519; SAOUHSC_00530; SAOUHSC_00795; SAOUHSC_00836; SAOUHSC_01040; SAOUHSC_01042; SAOUHSC_01043; SAOUHSC_01211; SAOUHSC_01416; SAOUHSC_01806; SAOUHSC_02441; SAOUHSC_02494; SAOUHSC_02503"	Cytoplasmic	Intracellular	no predicted signal peptide	0	88194708	Q2FZP9
SAOUHSC_00955	S. aureus NCTC8325	SAUPAN003197000	SAOUHSC_00955	CDS	SAOUHSC_00955		hypothetical protein	no	3920666										Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88194712	Q2FZP5
SAOUHSC_00957	S. aureus NCTC8325	SAUPAN003201000	SAOUHSC_00957	CDS	SAOUHSC_00957		hypothetical protein	yes	3920668					integral membrane protein, YkoY family	TIGR03716	297.4			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	7	88194714	Q2FZP3
SAOUHSC_00960	S. aureus NCTC8325	SAUPAN003206000	SAOUHSC_00960	CDS	SAOUHSC_00960		hypothetical protein	no	3920671		Metabolism	Purines, pyrimidines, nucleosides, and nucleotides	Other	2',3'-cyclic-nucleotide 2'-phosphodiesterase	TIGR01390	87.8			Cytoplasmic	Intracellular	no predicted signal peptide	1	88194717	Q2FZP0
SAOUHSC_00962	S. aureus NCTC8325	SAUPAN003212000	SAOUHSC_00962	CDS	SAOUHSC_00962		hypothetical protein	no	3920673										no significant prediction	Intracellular	no predicted signal peptide	0	88194719	Q2FZN8
SAOUHSC_00964	S. aureus NCTC8325	SAUPAN003214000	SAOUHSC_00964	CDS	SAOUHSC_00964		hypothetical protein	no	3920675		Genetic information processing	Protein fate	Protein and peptide secretion and trafficking	preprotein translocase, YajC subunit	TIGR00739	13.6		"SAOUHSC_00835; SAOUHSC_01689; SAOUHSC_01822; SAOUHSC_02369; SAOUHSC_02494"	Cytoplasmic	Intracellular	no predicted signal peptide	0	88194721	Q2FZN6
SAOUHSC_00965	S. aureus NCTC8325	SAUPAN003215000	SAOUHSC_00965	CDS	SAOUHSC_00965		hypothetical protein	no	3920676		Cell structure	Cell envelope	Other	LPXTG cell wall anchor domain	TIGR01167	10.5			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	7	88194722	Q2FZN5
SAOUHSC_00966	S. aureus NCTC8325	SAUPAN003218000	SAOUHSC_00966	CDS	SAOUHSC_00966		hypothetical protein	no	3920111										Cytoplasmic Membrane	N-terminally anchored (No CS)	no predicted signal peptide	1	88194723	Q2FZN4
SAOUHSC_00967	S. aureus NCTC8325	SAUPAN003219000	SAOUHSC_00967	CDS	SAOUHSC_00967		hypothetical protein	no	3920112										Extracellular	Intracellular	no predicted signal peptide	0	88194724	Q2FZN3
SAOUHSC_00968	S. aureus NCTC8325	SAUPAN003223000	SAOUHSC_00968	CDS	SAOUHSC_00968		hypothetical protein	no	3920113		Cellular processes	Cellular processes	Toxin production and resistance	bacteriocin-associated integral membrane protein	TIGR01654	751.8			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	7	88194725	Q2FZN2
SAOUHSC_00969	S. aureus NCTC8325	SAUPAN003224000	SAOUHSC_00969	CDS	SAOUHSC_00969		hypothetical protein	no	3920114			Hypothetical proteins	Conserved	conserved hypothetical protein	TIGR01655	122.3			Cytoplasmic Membrane	Secretory(released) (with CS)	no predicted signal peptide	1	88194726	Q2FZN1
SAOUHSC_00970	S. aureus NCTC8325	SAUPAN003225000	SAOUHSC_00970	CDS	SAOUHSC_00970		ABC transporter ATP-binding protein	no	3920115		"Cellular processes; Metabolism"	"Cellular processes; Transport and binding proteins"	"Toxin production and resistance; Unknown substrate"	putative bacteriocin export ABC transporter, lactococcin 972 group	TIGR03608	267.3			Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88194727	Q2FZN0
SAOUHSC_00971	S. aureus NCTC8325	SAUPAN003229000	SAOUHSC_00971	CDS	SAOUHSC_00971		hypothetical protein	no	3920116										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	3	88194728	Q2FZM9
SAOUHSC_00972	S. aureus NCTC8325	SAUPAN003232000	SAOUHSC_00972	CDS	SAOUHSC_00972		hypothetical protein	no	3920117										Cytoplasmic	Intracellular	no predicted signal peptide	0	88194729	Q2FZM8
SAOUHSC_00975	S. aureus NCTC8325	SAUPAN003236000	SAOUHSC_00975	CDS	SAOUHSC_00975		hypothetical protein	no	3920120										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	2	88194732	Q2FZM5
SAOUHSC_00976	S. aureus NCTC8325	SAUPAN003237000	SAOUHSC_00976	CDS	SAOUHSC_00976		hypothetical protein	no	3920121					heme ABC transporter, heme-binding protein isdE	TIGR03659	81.5			Cytoplasmic Membrane	Intracellular	no predicted signal peptide	0	88194733	Q2FZM4
SAOUHSC_00977	S. aureus NCTC8325	SAUPAN003239000	SAOUHSC_00977	CDS	SAOUHSC_00977		hypothetical protein	no	3920122										no significant prediction	Intracellular	no predicted signal peptide	0	88194734	Q2FZM3
SAOUHSC_00978	S. aureus NCTC8325	SAUPAN003240000	SAOUHSC_00978	CDS	SAOUHSC_00978		hypothetical protein	no	3920123					CitB domain protein	TIGR02484	11.1			Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	2	88194735	Q2FZM2
SAOUHSC_00979	S. aureus NCTC8325	SAUPAN003241000	SAOUHSC_00979	CDS	SAOUHSC_00979		hypothetical protein	no	3920124		Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	ribosomal-protein-alanine acetyltransferase	TIGR01575	32.7			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194736	Q2FZM1
SAOUHSC_00981	S. aureus NCTC8325	SAUPAN003243000	SAOUHSC_00981	CDS	SAOUHSC_00981		hypothetical protein	no	3920126										no significant prediction	Intracellular	no predicted signal peptide	0	88194738	Q2FZL9
SAOUHSC_00991	S. aureus NCTC8325	SAUPAN003257000	SAOUHSC_00991	CDS	SAOUHSC_00991		hypothetical protein	no	3920391										Cytoplasmic Membrane	Multi-transmembrane	no predicted signal peptide	10	88194747	Q2FZL0
SAOUHSC_00992	S. aureus NCTC8325	SAUPAN003258000	SAOUHSC_00992	CDS	SAOUHSC_00992		MarR family transcriptional regulator	no	3920392					homoprotocatechuate degradation operon regulator, HpaR	TIGR02337	30			Cytoplasmic	Intracellular	no predicted signal peptide	0	88194748	Q2FZK9
SAOUHSC_00993	S. aureus NCTC8325	SAUPAN003259000	SAOUHSC_00993	CDS	SAOUHSC_00993		hypothetical protein	no	3920393										no significant prediction	Intracellular	no predicted signal peptide	0	88194749	Q2FZK8
SAOUHSC_00995	S. aureus NCTC8325	SAUPAN003261000	SAOUHSC_00995	CDS	SAOUHSC_00995		hypothetical protein	no	3920395	2.3.1.-				putative N-acetyltransferase, MSMEG_0567 N-terminal domain family	TIGR04045	38.8		"SAOUHSC_00529; SAOUHSC_00795; SAOUHSC_02477; SAOUHSC_02511"	Cytoplasmic	Intracellular	no predicted signal peptide	0	88194751	P0A0M9
SAOUHSC_00996	S. aureus NCTC8325	SAUPAN003263000	SAOUHSC_00996	CDS	SAOUHSC_00996		hypothetical protein	no	3920396										no significant prediction	Intracellular	no predicted signal peptide	0	88194752	P0A0Q4
SAOUHSC_00997	S. aureus NCTC8325	SAUPAN003264000	SAOUHSC_00997	CDS	SAOUHSC_00997		hypothetical protein	no	3920397		Signal transduction	Regulatory functions	Other	cell envelope-related function transcriptional attenuator common domain	TIGR00350	115.1			Cytoplasmic Membrane	Secretory(released) (with CS)	signal peptide predicted	1	88194753	P52078
SAOUHSC_01003	S. aureus NCTC8325	SAUPAN003272000	SAOUHSC_01003	CDS	SAOUHSC_01003		hypothetical protein	no	3920403										no significant prediction	Intracellular	no predicted signal peptide	0	88194759	Q2FZJ8
SAOUHSC_01005	S. aureus NCTC8325	SAUPAN003273000	SAOUHSC_01005	CDS	SAOUHSC_01005		hypothetical protein	no	3920404									"SAOUHSC_00017; SAOUHSC_00069; SAOUHSC_00100; SAOUHSC_00187; SAOUHSC_00206; SAOUHSC_00336; SAOUHSC_00348; SAOUHSC_00365; SAOUHSC_00374; SAOUHSC_00375; SAOUHSC_00426; SAOUHSC_00474; SAOUHSC_00488; SAOUHSC_00505; SAOUHSC_00517; SAOUHSC_00518; SAOUHSC_00519; SAOUHSC_00520; SAOUHSC_00521; SAOUHSC_00524; SAOUHSC_00525; SAOUHSC_00528; SAOUHSC_00529; SAOUHSC_00530; SAOUHSC_00553; SAOUHSC_00669; SAOUHSC_00694; SAOUHSC_00767; SAOUHSC_00795; SAOUHSC_00796; SAOUHSC_00797; SAOUHSC_00798; SAOUHSC_00799; SAOUHSC_00835; SAOUHSC_00836; SAOUHSC_00878; SAOUHSC_00895; SAOUHSC_00900; SAOUHSC_00906; SAOUHSC_00921; SAOUHSC_00937; SAOUHSC_01007; SAOUHSC_01028; SAOUHSC_01029; SAOUHSC_01036; SAOUHSC_01040; SAOUHSC_01041; SAOUHSC_01042; SAOUHSC_01043; SAOUHSC_01100; SAOUHSC_01150; SAOUHSC_01158; SAOUHSC_01199; SAOUHSC_01211; SAOUHSC_01216; SAOUHSC_01218; SAOUHSC_01232; SAOUHSC_01234; SAOUHSC_01236; SAOUHSC_01243; SAOUHSC_01246; SAOUHSC_01251; SAOUHSC_01287; SAOUHSC_01327; SAOUHSC_01337; SAOUHSC_01347; SAOUHSC_01403; SAOUHSC_01416; SAOU"	no significant prediction	Secretory(released) (with CS)	signal peptide predicted	0	88194760	Q2FZJ7
